hour,day,month,weather,vehicle_count,traffic_volume,avg_speed,road_occupancy,congestion_index,traffic_density
11,Friday,8,Cloudy,328,490,36.35,38.55,21.57,Low
7,Wednesday,11,Clear,490,705,35.11,58.44,33.61,Low
14,Monday,3,Clear,117,175,50.94,4.5,4.99,Low
2,Friday,11,Clear,339,504,34.03,36.56,24.8,Low
13,Saturday,6,Clear,98,178,57.51,5.49,6.48,Low
16,Thursday,9,Clear,10,60,53.33,11.93,4.53,Low
3,Saturday,6,Cloudy,417,669,35.33,52.06,27.38,Low
17,Wednesday,9,Rainy,10,20,56.13,1.0,0.0,Low
7,Friday,7,Rainy,464,667,21.31,43.87,30.06,Low
3,Friday,9,Clear,350,456,45.52,39.86,16.15,Low
1,Friday,2,Cloudy,255,346,42.75,33.8,15.39,Low
5,Wednesday,12,Cloudy,523,765,26.02,49.44,27.03,Low
21,Wednesday,8,Foggy,10,27,57.61,1.0,3.93,Low
9,Saturday,8,Clear,462,677,36.9,45.81,24.05,Low
3,Tuesday,2,Clear,402,588,37.06,49.0,26.1,Low
21,Saturday,12,Clear,10,20,55.6,1.0,1.26,Low
17,Thursday,4,Clear,10,20,63.91,1.0,2.58,Low
11,Monday,11,Clear,243,339,44.79,27.87,12.51,Low
1,Friday,7,Cloudy,265,382,47.53,25.05,11.79,Low
9,Tuesday,11,Clear,474,704,36.29,45.45,30.52,Low
3,Monday,4,Clear,354,533,47.88,46.18,26.39,Low
13,Tuesday,4,Clear,130,240,48.29,21.76,15.23,Low
15,Sunday,6,Clear,10,42,54.98,2.01,3.0,Low
14,Saturday,10,Clear,85,104,54.34,10.71,6.77,Low
7,Wednesday,6,Clear,532,790,32.41,65.42,37.16,Medium
13,Friday,10,Clear,135,192,51.48,15.78,12.02,Low
22,Saturday,3,Foggy,31,31,59.61,1.35,4.89,Low
7,Monday,9,Cloudy,513,777,41.67,57.2,30.62,Low
20,Sunday,12,Clear,10,20,61.0,8.08,8.54,Low
15,Sunday,10,Clear,10,41,61.58,1.38,0.0,Low
12,Sunday,11,Foggy,186,329,37.52,17.32,14.0,Low
17,Monday,2,Clear,10,20,54.25,1.85,1.49,Low
14,Monday,6,Clear,51,67,56.54,8.95,7.9,Low
20,Monday,12,Cloudy,10,20,60.36,3.79,1.61,Low
23,Monday,7,Clear,134,231,59.83,17.65,6.52,Low
12,Sunday,12,Rainy,132,188,50.38,10.53,8.27,Low
8,Sunday,9,Rainy,478,745,20.55,56.96,28.84,Low
14,Tuesday,3,Clear,10,29,58.05,1.25,1.15,Low
12,Saturday,10,Clear,201,372,42.61,18.77,9.3,Low
0,Friday,3,Foggy,219,318,42.89,28.14,15.88,Low
6,Wednesday,7,Clear,622,873,26.84,66.84,39.54,Medium
8,Sunday,4,Clear,496,701,34.96,47.24,25.01,Low
23,Wednesday,8,Rainy,190,285,44.9,16.11,11.22,Low
0,Saturday,7,Rainy,293,470,51.18,31.65,20.0,Low
11,Saturday,5,Clear,302,433,46.24,36.45,18.56,Low
7,Wednesday,7,Cloudy,504,749,30.61,51.68,27.33,Low
23,Sunday,3,Clear,69,124,50.34,6.46,9.33,Low
10,Wednesday,12,Foggy,344,487,38.09,32.14,18.46,Low
18,Tuesday,2,Foggy,10,20,46.59,6.02,6.68,Low
16,Thursday,6,Rainy,10,20,59.79,9.7,8.03,Low
7,Sunday,2,Clear,583,909,36.38,72.82,35.57,Medium
2,Sunday,3,Cloudy,355,578,36.94,44.27,22.56,Low
2,Friday,6,Clear,306,411,37.74,38.31,22.93,Low
0,Monday,5,Rainy,268,397,39.96,19.42,6.01,Low
4,Thursday,8,Clear,507,802,31.58,57.22,31.14,Low
9,Saturday,9,Clear,462,704,37.1,48.85,24.53,Low
6,Sunday,11,Clear,399,583,45.3,48.74,29.91,Low
8,Wednesday,3,Cloudy,557,789,20.88,49.2,30.43,Low
6,Thursday,12,Cloudy,472,742,34.72,53.41,33.16,Low
8,Friday,10,Clear,498,757,38.9,54.26,29.58,Low
7,Saturday,3,Clear,615,878,33.29,73.93,39.62,Medium
11,Monday,3,Rainy,385,613,25.93,50.52,28.2,Low
1,Monday,6,Clear,228,293,50.7,20.69,10.81,Low
0,Friday,1,Clear,127,183,59.67,9.69,14.58,Low
15,Friday,7,Rainy,59,80,50.77,7.71,8.25,Low
22,Wednesday,12,Rainy,57,134,48.57,15.0,6.36,Low
22,Sunday,1,Cloudy,24,28,61.5,2.97,11.03,Low
23,Monday,5,Clear,153,221,48.88,10.6,6.13,Low
4,Saturday,10,Clear,451,635,29.8,47.08,27.86,Low
2,Thursday,8,Rainy,385,558,31.75,43.79,27.86,Low
11,Saturday,4,Foggy,280,395,36.68,32.31,14.27,Low
7,Tuesday,5,Rainy,525,764,30.94,54.81,28.16,Low
21,Tuesday,4,Rainy,10,20,54.15,1.0,7.29,Low
2,Friday,12,Clear,421,558,43.13,41.87,22.58,Low
0,Wednesday,12,Foggy,234,305,41.53,31.71,21.26,Low
2,Tuesday,4,Clear,382,569,39.2,38.27,20.33,Low
4,Monday,12,Clear,403,608,39.11,42.45,23.5,Low
14,Saturday,8,Rainy,134,193,51.74,12.42,13.5,Low
13,Saturday,2,Clear,121,180,47.9,5.41,6.11,Low
2,Friday,1,Clear,386,566,42.85,38.57,20.59,Low
0,Sunday,3,Cloudy,183,273,44.27,26.47,13.45,Low
4,Sunday,9,Clear,472,721,41.9,46.4,23.81,Low
22,Thursday,4,Rainy,64,108,48.71,2.29,6.92,Low
13,Friday,10,Clear,10,20,59.54,1.0,4.48,Low
6,Thursday,5,Foggy,529,820,30.19,58.32,29.03,Low
8,Sunday,2,Clear,558,841,26.72,71.43,39.72,Medium
14,Friday,4,Clear,76,150,57.28,7.78,5.44,Low
14,Friday,2,Cloudy,10,57,55.6,1.44,3.47,Low
9,Friday,2,Foggy,444,622,28.46,45.36,24.38,Low
12,Sunday,4,Clear,252,352,57.05,27.69,18.89,Low
18,Thursday,6,Clear,10,39,56.47,7.26,5.39,Low
6,Thursday,7,Cloudy,496,694,26.21,55.83,32.85,Low
16,Friday,10,Rainy,10,57,47.45,11.77,5.64,Low
19,Tuesday,3,Foggy,10,20,46.34,7.41,3.66,Low
3,Wednesday,3,Foggy,447,687,25.97,49.24,36.44,Medium
4,Sunday,10,Clear,389,580,41.12,42.69,29.18,Low
22,Wednesday,6,Clear,31,20,67.46,11.6,7.07,Low
6,Wednesday,12,Rainy,579,900,31.17,65.02,40.32,Medium
12,Thursday,3,Clear,281,504,52.46,38.27,24.68,Low
14,Thursday,2,Clear,10,20,72.07,11.13,5.07,Low
10,Tuesday,8,Cloudy,293,429,46.47,31.53,15.74,Low
3,Wednesday,5,Rainy,398,517,37.64,45.98,27.65,Low
12,Wednesday,1,Foggy,244,406,39.82,32.01,19.3,Low
6,Friday,3,Rainy,408,639,34.8,49.17,26.25,Low
18,Thursday,10,Rainy,10,20,53.47,4.91,6.49,Low
21,Wednesday,8,Clear,10,20,57.52,1.0,0.0,Low
1,Saturday,4,Clear,343,456,36.62,33.87,20.01,Low
9,Tuesday,7,Clear,328,511,42.95,33.97,15.6,Low
12,Saturday,10,Clear,204,328,52.63,28.74,12.65,Low
20,Saturday,12,Foggy,10,20,47.86,1.0,0.47,Low
5,Sunday,2,Clear,563,859,26.52,70.17,39.95,Medium
11,Sunday,7,Clear,307,465,43.82,38.01,19.26,Low
11,Tuesday,5,Clear,248,360,46.51,33.33,15.16,Low
19,Saturday,5,Clear,10,44,59.19,1.0,3.62,Low
10,Wednesday,6,Clear,330,458,45.95,37.03,25.17,Low
22,Thursday,9,Clear,99,182,58.58,12.49,9.87,Low
6,Tuesday,6,Clear,488,710,33.1,55.5,36.18,Medium
0,Friday,12,Clear,252,431,52.31,29.48,20.88,Low
0,Saturday,8,Clear,221,301,54.61,23.17,11.96,Low
19,Tuesday,7,Foggy,73,98,45.95,8.79,8.47,Low
12,Monday,9,Clear,197,297,53.47,27.06,15.12,Low
8,Monday,4,Clear,478,718,41.02,47.28,29.26,Low
2,Sunday,2,Rainy,326,503,30.21,43.96,25.01,Low
6,Thursday,7,Clear,500,711,40.27,60.47,30.35,Low
5,Wednesday,6,Cloudy,354,529,35.35,34.51,24.2,Low
7,Thursday,1,Rainy,513,773,22.89,58.92,34.78,Low
8,Thursday,11,Clear,526,773,34.68,62.95,32.37,Low
4,Thursday,9,Rainy,479,730,17.33,47.05,27.8,Low
0,Thursday,9,Clear,134,160,54.18,15.1,7.39,Low
18,Friday,12,Rainy,10,20,56.41,1.0,0.0,Low
9,Friday,2,Clear,290,412,37.27,28.99,15.75,Low
11,Sunday,3,Cloudy,326,479,46.15,36.68,21.63,Low
23,Tuesday,5,Clear,72,151,52.91,5.0,4.58,Low
14,Monday,5,Rainy,48,115,50.63,12.2,6.76,Low
21,Thursday,1,Rainy,10,53,48.73,1.0,7.04,Low
23,Sunday,8,Clear,196,280,53.06,25.74,8.72,Low
8,Tuesday,12,Clear,464,723,41.92,43.28,24.94,Low
19,Monday,8,Rainy,10,20,54.74,1.0,1.9,Low
16,Saturday,4,Foggy,10,20,47.48,1.17,0.0,Low
16,Wednesday,7,Clear,10,20,57.12,1.0,3.34,Low
19,Friday,11,Foggy,10,67,47.15,1.0,1.96,Low
11,Saturday,10,Cloudy,371,597,41.73,37.88,25.08,Low
6,Monday,3,Cloudy,400,622,40.45,48.22,29.18,Low
1,Saturday,6,Clear,320,474,46.75,40.55,28.13,Low
2,Wednesday,10,Rainy,306,460,30.29,33.59,18.65,Low
16,Sunday,10,Clear,10,30,59.38,1.0,6.37,Low
4,Monday,12,Cloudy,488,716,29.43,63.19,31.5,Low
16,Saturday,9,Clear,10,43,62.82,1.0,1.76,Low
23,Friday,1,Clear,152,200,48.58,9.59,5.46,Low
16,Friday,5,Rainy,10,26,53.76,1.0,4.17,Low
16,Tuesday,4,Clear,12,20,57.99,1.83,4.37,Low
1,Saturday,8,Cloudy,232,331,36.0,24.69,12.42,Low
1,Thursday,11,Cloudy,239,420,49.7,31.71,19.84,Low
21,Saturday,12,Rainy,19,59,50.92,5.17,3.41,Low
22,Sunday,1,Clear,35,98,64.63,5.34,1.77,Low
4,Monday,9,Rainy,475,692,19.92,51.42,30.69,Low
0,Monday,6,Clear,92,141,53.94,15.77,5.31,Low
0,Sunday,4,Clear,214,359,48.22,33.11,21.43,Low
18,Saturday,12,Foggy,10,33,48.85,6.16,4.96,Low
1,Sunday,9,Clear,252,393,40.77,25.68,15.19,Low
20,Wednesday,11,Clear,10,63,62.22,5.02,3.86,Low
11,Sunday,5,Cloudy,267,369,53.21,27.66,20.65,Low
5,Friday,5,Clear,487,724,38.02,48.59,31.48,Low
22,Sunday,12,Clear,31,20,58.91,1.0,6.25,Low
3,Monday,5,Cloudy,320,447,34.11,33.76,19.56,Low
22,Friday,1,Clear,129,225,49.68,14.85,6.09,Low
10,Monday,1,Foggy,318,449,31.82,45.64,25.91,Low
23,Tuesday,8,Cloudy,111,188,48.8,7.92,6.95,Low
16,Thursday,12,Cloudy,10,64,61.63,7.73,7.92,Low
5,Monday,8,Rainy,569,848,26.22,61.64,35.57,Medium
23,Friday,12,Clear,99,164,68.51,1.0,0.0,Low
4,Tuesday,6,Clear,464,718,31.9,49.03,26.04,Low
19,Monday,12,Foggy,10,20,47.67,6.99,3.72,Low
1,Wednesday,11,Cloudy,243,346,37.93,28.72,18.62,Low
5,Sunday,4,Rainy,537,775,14.04,61.69,39.66,Medium
21,Thursday,2,Clear,10,20,63.11,7.75,7.55,Low
10,Monday,2,Clear,377,586,43.63,36.71,21.55,Low
15,Tuesday,9,Clear,66,81,52.43,2.07,0.0,Low
15,Wednesday,5,Rainy,10,20,51.97,1.0,0.0,Low
0,Saturday,4,Clear,255,351,44.1,32.72,18.21,Low
8,Tuesday,10,Cloudy,551,863,26.98,64.03,36.02,Medium
5,Sunday,1,Rainy,477,699,26.55,56.62,35.84,Medium
15,Tuesday,7,Clear,10,60,55.02,1.0,2.55,Low
2,Wednesday,3,Rainy,305,459,33.17,25.87,13.02,Low
19,Tuesday,6,Clear,10,20,56.06,1.0,4.27,Low
3,Wednesday,5,Rainy,371,551,35.56,36.61,21.06,Low
18,Monday,5,Rainy,10,20,37.63,8.88,5.89,Low
2,Wednesday,11,Foggy,409,631,26.41,50.45,24.16,Low
18,Wednesday,5,Foggy,10,20,42.06,1.0,3.13,Low
19,Thursday,1,Clear,10,20,54.24,2.61,3.83,Low
6,Wednesday,1,Clear,501,740,32.32,52.27,26.24,Low
19,Wednesday,3,Rainy,10,20,51.43,2.93,5.64,Low
8,Saturday,12,Clear,434,621,37.23,42.53,25.92,Low
0,Monday,10,Clear,219,353,43.73,28.08,16.48,Low
7,Sunday,4,Clear,529,788,37.16,54.53,29.99,Low
6,Thursday,5,Rainy,574,851,18.79,67.81,42.06,Medium
17,Saturday,2,Clear,10,20,55.83,1.0,3.39,Low
7,Friday,8,Rainy,458,666,30.52,46.94,24.64,Low
0,Monday,11,Cloudy,146,209,51.3,24.29,13.5,Low
10,Monday,11,Clear,461,697,33.89,52.11,30.67,Low
17,Friday,2,Clear,10,20,44.82,1.0,0.0,Low
22,Sunday,9,Clear,47,43,53.22,9.01,3.59,Low
9,Wednesday,2,Cloudy,508,803,32.41,49.74,30.0,Low
2,Saturday,9,Clear,344,505,46.24,43.76,27.67,Low
6,Tuesday,7,Clear,536,787,32.8,58.86,35.54,Medium
15,Thursday,8,Clear,10,20,57.11,4.12,6.49,Low
15,Tuesday,11,Foggy,10,40,58.97,1.0,2.59,Low
19,Friday,2,Clear,10,20,57.64,1.0,0.0,Low
16,Monday,7,Foggy,10,20,50.56,1.13,1.95,Low
1,Sunday,12,Cloudy,332,446,33.72,42.04,18.01,Low
0,Monday,6,Clear,235,377,42.8,29.51,21.0,Low
15,Thursday,4,Foggy,39,93,49.29,2.37,0.76,Low
11,Monday,7,Clear,293,454,50.57,34.15,17.45,Low
4,Monday,4,Cloudy,414,574,34.35,52.28,32.23,Low
4,Thursday,2,Rainy,545,842,15.51,59.56,31.38,Low
22,Saturday,10,Cloudy,36,29,54.36,2.46,0.0,Low
8,Saturday,12,Clear,478,681,37.05,43.66,25.33,Low
8,Thursday,7,Clear,491,724,35.94,53.16,30.92,Low
2,Sunday,8,Clear,367,538,38.83,32.08,18.4,Low
18,Friday,2,Clear,10,20,58.74,1.0,2.09,Low
15,Monday,5,Clear,41,99,54.2,9.5,10.4,Low
15,Sunday,1,Clear,10,75,53.94,1.0,4.26,Low
2,Monday,7,Clear,431,605,42.23,54.06,30.9,Low
19,Friday,8,Clear,10,20,59.99,1.0,4.49,Low
23,Saturday,6,Foggy,139,212,40.3,15.31,9.23,Low
21,Sunday,5,Clear,10,20,56.96,1.0,8.77,Low
23,Wednesday,6,Clear,88,143,54.7,1.21,0.0,Low
0,Wednesday,2,Clear,252,405,48.2,24.09,18.49,Low
23,Wednesday,1,Clear,278,439,54.74,41.38,25.22,Low
19,Saturday,7,Cloudy,10,33,59.77,1.0,2.92,Low
10,Saturday,7,Clear,410,664,36.17,37.61,21.81,Low
16,Friday,10,Rainy,10,20,48.22,1.82,2.52,Low
7,Monday,11,Cloudy,489,777,28.49,53.9,33.77,Low
3,Friday,10,Foggy,500,737,22.0,53.94,31.4,Low
5,Friday,2,Rainy,436,677,26.14,48.52,25.9,Low
7,Saturday,2,Foggy,422,602,29.27,50.11,31.18,Low
19,Wednesday,1,Cloudy,10,20,43.28,1.0,7.56,Low
2,Tuesday,10,Rainy,383,594,35.53,43.53,18.8,Low
15,Monday,8,Rainy,11,20,52.83,6.34,12.14,Low
2,Saturday,8,Rainy,368,581,39.91,35.91,17.35,Low
17,Wednesday,1,Rainy,10,52,55.88,1.0,0.0,Low
13,Sunday,12,Rainy,161,246,40.53,21.24,9.35,Low
17,Tuesday,11,Clear,10,20,63.32,13.63,8.39,Low
1,Tuesday,8,Clear,240,334,47.16,26.63,11.6,Low
21,Saturday,9,Clear,10,35,49.83,2.12,0.0,Low
2,Thursday,4,Clear,385,587,41.54,41.3,20.99,Low
15,Monday,1,Clear,62,65,53.78,14.83,9.69,Low
8,Tuesday,1,Clear,415,610,39.25,45.72,26.11,Low
3,Saturday,3,Rainy,484,721,36.06,52.84,32.92,Low
0,Saturday,5,Clear,177,253,52.27,24.22,17.68,Low
3,Wednesday,5,Foggy,405,566,22.66,42.58,28.78,Low
0,Sunday,9,Clear,229,364,53.37,19.02,10.6,Low
13,Thursday,10,Clear,112,160,56.21,16.86,4.68,Low
20,Monday,12,Rainy,10,20,45.82,1.0,0.0,Low
15,Friday,2,Rainy,10,20,43.47,1.0,5.85,Low
19,Sunday,2,Clear,10,29,54.61,11.61,10.17,Low
23,Sunday,6,Cloudy,174,266,52.48,18.44,9.28,Low
7,Wednesday,9,Cloudy,451,712,32.94,52.58,25.0,Low
6,Tuesday,1,Clear,512,782,34.81,57.04,28.25,Low
2,Tuesday,9,Clear,266,392,40.01,25.12,15.59,Low
16,Wednesday,9,Cloudy,31,24,59.77,6.89,5.65,Low
0,Saturday,9,Rainy,260,415,28.92,30.46,21.82,Low
15,Tuesday,5,Rainy,125,179,42.47,10.59,6.3,Low
11,Thursday,9,Foggy,344,510,32.89,40.39,22.5,Low
18,Monday,11,Clear,10,20,53.89,1.0,5.73,Low
21,Sunday,4,Clear,21,20,62.02,1.0,0.0,Low
22,Sunday,2,Clear,10,20,55.15,1.0,3.27,Low
21,Thursday,6,Foggy,66,156,38.57,8.68,5.93,Low
13,Tuesday,4,Rainy,67,69,55.08,5.53,6.72,Low
5,Sunday,6,Rainy,432,623,31.17,55.51,32.5,Low
5,Friday,3,Clear,409,655,42.15,45.23,22.9,Low
12,Monday,6,Clear,175,251,56.34,15.52,8.01,Low
18,Monday,2,Clear,10,20,46.4,1.9,0.0,Low
21,Sunday,2,Rainy,10,46,54.67,1.0,4.58,Low
7,Wednesday,9,Rainy,589,840,18.74,65.02,38.57,Medium
1,Sunday,7,Clear,304,480,41.65,35.37,24.28,Low
20,Wednesday,3,Cloudy,10,20,58.69,2.09,1.55,Low
0,Sunday,11,Clear,279,432,44.23,37.51,23.76,Low
14,Friday,1,Cloudy,62,106,56.87,19.88,8.49,Low
0,Saturday,8,Clear,162,224,51.7,21.36,4.5,Low
4,Monday,6,Rainy,374,592,34.14,47.45,26.37,Low
15,Sunday,7,Clear,10,20,57.05,13.83,6.97,Low
18,Friday,9,Cloudy,10,27,51.18,1.0,0.0,Low
3,Wednesday,5,Clear,349,560,38.85,39.43,24.98,Low
2,Wednesday,1,Clear,367,591,41.14,38.39,25.25,Low
16,Monday,12,Clear,10,20,68.69,5.32,4.43,Low
16,Thursday,10,Clear,10,28,66.86,2.47,2.18,Low
11,Sunday,7,Clear,297,434,41.88,28.91,17.03,Low
13,Tuesday,5,Cloudy,155,307,49.55,17.28,8.7,Low
20,Wednesday,3,Clear,10,38,58.06,6.35,6.58,Low
5,Saturday,12,Foggy,570,857,20.15,56.81,28.75,Low
2,Saturday,9,Rainy,297,454,38.44,29.01,13.89,Low
8,Wednesday,1,Rainy,471,718,31.09,47.6,24.64,Low
4,Thursday,1,Clear,368,565,27.09,42.52,26.58,Low
23,Thursday,1,Clear,18,20,60.93,8.2,4.83,Low
16,Friday,3,Foggy,10,20,45.51,1.0,6.78,Low
13,Saturday,12,Cloudy,149,218,46.03,17.03,13.1,Low
20,Friday,6,Clear,21,20,62.92,1.0,0.0,Low
2,Saturday,10,Clear,470,726,43.83,57.25,32.81,Low
0,Sunday,11,Clear,265,373,50.2,28.26,14.9,Low
19,Sunday,3,Cloudy,10,20,53.91,1.76,4.16,Low
20,Tuesday,8,Clear,10,20,54.12,1.1,4.96,Low
22,Sunday,10,Clear,10,20,44.47,6.73,8.96,Low
0,Tuesday,2,Cloudy,192,295,48.31,31.58,18.46,Low
2,Sunday,9,Clear,414,603,42.2,40.33,27.33,Low
17,Monday,3,Clear,10,20,58.99,1.0,3.52,Low
9,Sunday,5,Rainy,347,541,39.32,40.16,23.03,Low
21,Friday,10,Cloudy,18,45,49.5,1.0,1.61,Low
2,Wednesday,8,Clear,376,581,40.34,46.45,23.81,Low
7,Friday,2,Clear,507,761,33.4,61.8,35.16,Medium
13,Wednesday,6,Clear,120,185,53.45,10.6,7.47,Low
23,Thursday,12,Clear,155,239,58.09,13.4,9.21,Low
17,Friday,5,Rainy,10,20,50.98,1.0,3.9,Low
14,Thursday,10,Clear,17,69,57.68,2.41,3.71,Low
21,Tuesday,9,Clear,10,54,54.82,2.69,9.21,Low
22,Tuesday,12,Clear,40,83,64.64,1.0,0.46,Low
1,Monday,5,Rainy,203,291,34.69,17.72,13.04,Low
9,Sunday,2,Rainy,384,592,30.04,40.65,22.97,Low
1,Friday,5,Cloudy,199,327,55.52,18.13,3.48,Low
16,Thursday,12,Clear,10,20,61.84,1.0,1.54,Low
7,Wednesday,4,Foggy,507,811,22.55,46.89,25.07,Low
0,Tuesday,11,Foggy,182,220,39.01,13.7,9.21,Low
8,Sunday,7,Clear,530,816,28.77,58.31,32.55,Low
10,Tuesday,6,Clear,353,573,42.01,37.04,22.06,Low
21,Wednesday,2,Clear,10,20,57.75,1.0,0.64,Low
15,Sunday,12,Clear,10,20,60.4,5.09,2.99,Low
6,Sunday,11,Clear,581,891,23.42,68.54,40.64,Medium
9,Thursday,11,Clear,378,622,43.09,42.75,21.27,Low
22,Thursday,5,Clear,63,86,61.93,7.6,0.0,Low
2,Friday,7,Foggy,387,557,27.63,38.72,23.45,Low
17,Friday,11,Clear,10,20,62.74,1.0,5.31,Low
23,Saturday,7,Foggy,244,319,37.35,18.57,14.03,Low
12,Saturday,5,Rainy,141,238,41.91,14.41,10.12,Low
6,Monday,12,Cloudy,446,653,29.41,53.48,33.89,Low
3,Tuesday,9,Rainy,354,524,29.71,46.1,29.66,Low
12,Friday,4,Clear,185,304,52.21,19.33,10.59,Low
19,Thursday,11,Rainy,10,20,51.22,3.57,4.48,Low
0,Wednesday,3,Clear,148,244,58.98,2.16,3.65,Low
7,Thursday,4,Clear,545,786,36.7,58.39,31.66,Low
13,Tuesday,5,Cloudy,124,214,54.74,11.5,10.98,Low
15,Saturday,6,Clear,10,25,60.82,8.57,5.47,Low
13,Thursday,3,Clear,34,48,53.49,5.74,3.24,Low
11,Monday,2,Rainy,201,305,43.58,24.8,6.92,Low
18,Tuesday,4,Cloudy,10,20,56.82,3.32,1.03,Low
22,Saturday,5,Rainy,41,64,44.26,4.78,0.7,Low
14,Wednesday,4,Clear,117,171,60.2,20.66,11.87,Low
1,Saturday,11,Rainy,317,437,41.66,23.7,10.49,Low
1,Sunday,12,Clear,235,332,42.53,26.84,17.6,Low
22,Monday,3,Rainy,70,101,45.31,13.43,12.25,Low
21,Tuesday,8,Cloudy,70,86,50.75,1.0,2.38,Low
18,Wednesday,10,Rainy,10,20,54.55,5.3,1.53,Low
21,Monday,4,Cloudy,10,47,58.97,1.0,3.05,Low
21,Saturday,2,Clear,35,48,58.47,4.44,9.61,Low
16,Monday,2,Rainy,10,20,52.87,1.0,7.14,Low
19,Tuesday,1,Foggy,10,79,41.06,5.91,1.17,Low
9,Friday,4,Clear,386,616,42.61,41.45,18.74,Low
5,Monday,10,Cloudy,600,889,26.5,70.9,34.12,Low
14,Sunday,9,Clear,34,25,54.9,5.95,1.39,Low
21,Monday,11,Rainy,10,27,43.84,1.0,3.54,Low
10,Saturday,7,Foggy,343,520,30.98,40.62,21.87,Low
4,Saturday,12,Rainy,516,790,27.98,54.02,28.07,Low
0,Wednesday,10,Clear,200,274,41.49,22.54,16.8,Low
7,Saturday,7,Rainy,525,820,25.84,56.8,33.86,Low
20,Thursday,7,Rainy,10,20,52.11,5.61,0.0,Low
11,Tuesday,8,Cloudy,259,408,41.28,31.48,21.11,Low
11,Tuesday,1,Clear,251,352,49.35,27.74,17.41,Low
4,Friday,10,Clear,467,779,35.99,48.46,28.59,Low
6,Friday,10,Rainy,508,782,28.02,50.1,26.91,Low
3,Tuesday,8,Clear,414,707,41.97,46.68,25.16,Low
5,Sunday,4,Rainy,494,765,29.97,51.73,23.28,Low
